lane_id,pickup_city,pickup_state,delivery_city,delivery_state
bd0da4d339ba27981a82d1155b9667f7,ERIE,PA,STATESVILLE,NC
89b666f464edbaab4cc94620b0179721,DE SOTO,KS,FORT COLLINS,CO
2be0f8f1265ef3c70a7054b9ec98a555,GRANITE CITY,IL,CALUMET TOWNSHIP,MI
8a1c9e664828209960171863f14f9da9,PORTAGE,IN,BUFORD,GA
5e6fdc892c449faedf5e95d078d7372b,COLUMBUS,OH,HATFIELD,PA
cdbc867c990c7267f8b75b1feeac5d3a,BROOMFIELD,CO,LAS VEGAS,NV
b1acfa6d3c88e2cd79c9947ae821417c,FORT COLLINS,CO,JAMESTOWN,ND
5595672d9863febb82a02727beb6cea3,IDAHO FALLS,ID,DENVER,CO
c8ee14cf8c9af5fd8179233daa482fa5,WILLIAMSBURG,VA,NOTTINGHAM,MD
c0e3ea5d6c649f1ce78fe0c250953777,FORT COLLINS,CO,PUEBLO,CO
228af72bc0119d153c5fe42f750fdce9,HOUSTON,TX,ATTALLA,AL
7c01c29be34308d232c9d48b43deee78,DELANO,MN,AUSTIN,TX
3bc17fbc684580d5da6501477ea2bceb,NEWARK,NJ,MERRIMACK,NH
de04925f542f3e866023e42b1b720ef1,SIOUX CITY,IA,DANVILLE,IL
037c64c6ce569cc2022d8edce1978ef2,BALDWINSVILLE,NY,GLADSTONE,MI
cae4ea17cdd827287ba5eabe7f8f7713,ST. LOUIS,MO,ALEXANDRIA,MN
d15dc2698740c799daa784f5f7e57e26,ST. LOUIS,MO,PINE BLUFF,AR
c55e17ae9a6e092f8cdf38460080e9da,GRANITE CITY,IL,BARDSTOWN,KY
7882b498a0b67a262cef7ca44d88d49a,JOHNSTOWN,PA,BALDWINSVILLE,NY
caaa613e9231168216f994dc23d4f86d,JACKSONVILLE,FL,ROCKY MOUNT,NC
ed2e59c5448b44af1c40933546fb88c1,GEORGETOWN TOWNSHIP,MI,YORK,PA
40ec601dcbbcc06697afe4318ef04693,FORT COLLINS,CO,DURANGO,CO
907c5d35c98da4540adfaaafad878b05,LOS ANGELES,CA,REDDING,CA
7e3542ab0bdbf43eeec027ad56730428,LOS ANGELES,CA,SAFFORD,AZ
4938e9adddae45993d00d2f87537eff8,NEWARK,NJ,LOXLEY,AL
d7352d8f34fd2f5d28850d8c181ae6c7,LOS ANGELES,CA,SPARKS,NV
4419cdb8ce0afce113286b2e10560272,COMPTON,CA,TRACY,CA
1d8e2f0afe8a4c281aae91e40ed231f4,LA PORTE,TX,HATTIESBURG,MS
9ec27eed81a6127b6db42db5d04bcf51,AURORA,CO,AMARILLO,TX
a855665419fe9267e6806697d867c033,FORT COLLINS,CO,GRAND RAPIDS,MI
3b8bab6b5b5f0d0ed2781b4ab0a1868c,LA PORTE,TX,GRANITE CITY,IL
a3bf0b66c0f50e870d2d7d33945c8736,LAREDO,TX,TROY,AL
72beaff289f890fd788f3a6c1c2558ae,JACKSONVILLE,FL,SANFORD,FL
3fa4b5b45fd9f124e6ab9336e0c19ae1,ST. LOUIS,MO,LONGVIEW,TX
d5d5c3bacb0b3531d1016036bf7bae08,ST. LOUIS,MO,LINCOLN,NE
218fa73cee8dd25b99a8443b43e68be3,CARTERSVILLE,GA,JOHNSON CITY,TN
f17e6b701f3cf8132069e5385766ac4a,ROMULUS,MI,BALDWINSVILLE,NY
87ca2abb2f7f13a7fd4cdef2adfd2c6d,CONOVER,NC,DENTON,TX
8fe2fcbb8f0d4c51bb0359b5584e384d,LA PORTE,TX,TEXARKANA,TX
66899ee7047c751835e9653c32cae80d,LA PORTE,TX,LAFAYETTE,LA
195f4a1146fef1fc27b9687bd8d96af0,WILLIAMSBURG,VA,ERIE,PA
0b62b9f5e56f17f15261148f4aa73fa4,BALDWINSVILLE,NY,JERSEY CITY,NJ
fc105116f1813d8add307b9ffd7ce11c,WILLIAMSBURG,VA,MARTINSBURG,WV
ed135a157cfbdd65757179d904897b16,GRANITE CITY,IL,MARQUETTE,MI
ab9c02e6569569c18f7f219c2c182598,JACKSONVILLE,FL,FORT LAUDERDALE,FL
57e808541df9dc97e4c5be16f6c61e56,ST. LOUIS,MO,ROCHESTER,MN
cc4579dc4b5f6d3444f196a7987e2f13,NEWARK,NJ,ROMNEY,WV
d8334d86404d1787e7247c595cd13501,CARTERSVILLE,GA,HENDERSON,NC
1e4911a6494fd4865c32129612bc03c0,NEWARK,NJ,SCHOFIELD,WI
1b729cee16112d0d6b1245d67b69266b,CONOVER,NC,EDISON,NJ
ced96c3847ab1a8087e08a189c2119c4,NEWARK,NJ,WESTMORELAND,NY
8b8b963faccc64412fd139181fb3af4b,CARTERSVILLE,GA,SAINT AUGUSTINE,FL
4b9be37006dd7d07c2eb3ee6e7bc6418,COLONIAL HEIGHTS,VA,WRIGHTSVILLE,PA
68f40fc1196915781235ad48971eb772,FLOWERY BRANCH,GA,CANTON,OH
4edaf714f252dd02f12d75c016d14ca2,WILLIAMSBURG,VA,RALEIGH,NC
